giornata,anno,partita,risultato,partita_short
21,2021,Venezia - Milan,0 - 3,VEN - MIL
21,2021,Empoli - Sassuolo,1 - 5,EMP - SAS
21,2021,Napoli - Sampdoria,1 - 0,NAP - SAM
21,2021,Udinese - Atalanta,2 - 6,UDI - ATA
21,2021,Genoa - Spezia,0 - 1,GEN - SPE
21,2021,Roma - Juventus,3 - 4,ROM - JUV
21,2021,Verona - Salernitana,1 - 2,VER - SAL
21,2021,Inter - Lazio,2 - 1,INT - LAZ
21,2021,Torino - Fiorentina,4 - 0,TOR - FIO
21,2021,Cagliari - Bologna,2 - 1,CAG - BOL
22,2021,Sampdoria - Torino,1 - 2,SAM - TOR
22,2021,Salernitana - Lazio,0 - 3,SAL - LAZ
22,2021,Juventus - Udinese,2 - 0,JUV - UDI
22,2021,Sassuolo - Verona,2 - 4,SAS - VER
22,2021,Venezia - Empoli,1 - 1,VEN - EMP
22,2021,Roma - Cagliari,1 - 0,ROM - CAG
22,2021,Atalanta - Inter,0 - 0,ATA - INT
22,2021,Bologna - Napoli,0 - 2,BOL - NAP
22,2021,Milan - Spezia,1 - 2,MIL - SPE
22,2021,Fiorentina - Genoa,6 - 0,FIO - GEN
23,2021,Verona - Bologna,2 - 1,VER - BOL
23,2021,Genoa - Udinese,0 - 0,GEN - UDI
23,2021,Inter - Venezia,2 - 1,INT - VEN
23,2021,Lazio - Atalanta,0 - 0,LAZ - ATA
23,2021,Cagliari - Fiorentina,1 - 1,CAG - FIO
23,2021,Napoli - Salernitana,4 - 1,NAP - SAL
23,2021,Spezia - Sampdoria,1 - 0,SPE - SAM
23,2021,Torino - Sassuolo,1 - 1,TOR - SAS
23,2021,Empoli - Roma,2 - 4,EMP - ROM
23,2021,Milan - Juventus,0 - 0,MIL - JUV
24,2021,Roma - Genoa,0 - 0,ROM - GEN
24,2021,Inter - Milan,1 - 2,INT - MIL
24,2021,Fiorentina - Lazio,0 - 3,FIO - LAZ
24,2021,Atalanta - Cagliari,1 - 2,ATA - CAG
24,2021,Bologna - Empoli,0 - 0,BOL - EMP
24,2021,Sampdoria - Sassuolo,4 - 0,SAM - SAS
24,2021,Venezia - Napoli,0 - 2,VEN - NAP
24,2021,Udinese - Torino,2 - 0,UDI - TOR
24,2021,Juventus - Verona,2 - 0,JUV - VER
24,2021,Salernitana - Spezia,2 - 2,SAL - SPE
25,2021,Lazio - Bologna,3 - 0,LAZ - BOL
25,2021,Napoli - Inter,1 - 1,NAP - INT
25,2021,Torino - Venezia,1 - 2,TOR - VEN
25,2021,Milan - Sampdoria,1 - 0,MIL - SAM
25,2021,Empoli - Cagliari,1 - 1,EMP - CAG
25,2021,Genoa - Salernitana,1 - 1,GEN - SAL
25,2021,Verona - Udinese,4 - 0,VER - UDI
25,2021,Sassuolo - Roma,2 - 2,SAS - ROM
25,2021,Atalanta - Juventus,1 - 1,ATA - JUV
25,2021,Spezia - Fiorentina,1 - 2,SPE - FIO
26,2021,Juventus - Torino,1 - 1,JUV - TOR
26,2021,Sampdoria - Empoli,2 - 0,SAM - EMP
26,2021,Roma - Verona,2 - 2,ROM - VER
26,2021,Salernitana - Milan,2 - 2,SAL - MIL
26,2021,Fiorentina - Atalanta,1 - 0,FIO - ATA
26,2021,Venezia - Genoa,1 - 1,VEN - GEN
26,2021,Inter - Sassuolo,0 - 2,INT - SAS
26,2021,Udinese - Lazio,1 - 1,UDI - LAZ
26,2021,Cagliari - Napoli,1 - 1,CAG - NAP
26,2021,Bologna - Spezia,2 - 1,BOL - SPE
27,2021,Milan - Udinese,1 - 1,MIL - UDI
27,2021,Genoa - Inter,0 - 0,GEN - INT
27,2021,Salernitana - Bologna,1 - 1,SAL - BOL
27,2021,Empoli - Juventus,2 - 3,EMP - JUV
27,2021,Sassuolo - Fiorentina,2 - 1,SAS - FIO
