,Partita,Rt-5h,Rt-4h,Rt-3h,Rt-2h,Rt-1h,Classifica h,Rt-5a,Rt-4a,Rt-3a,Rt-2a,Rt-1a,Classifica a,media gol_fatti h,media gol_subiti h,media gol_fatti a,media gol_subiti a,varianza gol_fatti h,varianza gol_subiti h,varianza gol_fatti a,varianza gol_subiti a,Gf-5h,Gf-4h,Gf-3h,Gf-2h,Gf-1h,Gs-5h,Gs-4h,Gs-3h,Gs-2h,Gs-1h,Gf-5a,Gf-4a,Gf-3a,Gf-2a,Gf-1a,Gs-5a,Gs-4a,Gs-3a,Gs-2a,Gs-1a,yGf,yGs
110,Genoa-Sampdoria,1,0,1,0,0,19,0,2,2,0,0,15,1.0588235294117647,2.0,1.4705882352941178,1.9411764705882355,1.0880365478290537,1.0606601717798212,1.1245914290767742,1.2976222599091634,2,0,0,0,0,2,2,0,3,2,1,2,3,1,1,2,0,1,3,3,1,3
111,Fiorentina-Salernitana,0,2,0,2,2,6,0,0,1,0,0,20,1.8235294117647056,1.2941176470588236,0.6470588235294118,2.176470588235294,1.3339459376998315,1.046703508780838,0.8617697249402124,1.2862393885688164,0,4,1,3,3,1,3,2,1,2,0,0,1,0,0,3,2,1,2,2,4,0
112,Venezia-Juventus,2,2,0,0,0,16,2,2,0,2,2,5,0.9411764705882352,1.7647058823529411,1.3529411764705883,1.0,0.9663454503498036,1.2514697241996051,0.8617697249402123,0.8660254037844386,3,1,0,0,3,2,0,2,4,4,1,2,0,2,2,0,0,1,0,0,1,1
113,Udinese-Milan,2,0,1,1,0,14,1,0,0,2,2,1,1.2941176470588236,1.6470588235294117,2.117647058823529,1.1176470588235294,1.2631659571466125,1.2718675476729209,1.053704948098403,1.1663164740528442,3,1,0,4,1,2,2,0,4,3,1,3,1,3,2,1,4,3,0,0,1,1
114,Torino-Bologna,0,2,0,1,1,13,2,0,2,2,0,9,1.2941176470588236,1.0588235294117647,1.411764705882353,1.7058823529411764,1.212678125181665,0.658652814016432,0.939336436627724,1.7945997423643292,0,2,0,2,1,1,1,1,2,1,2,0,1,1,2,1,1,0,0,3,2,1
115,Verona-Atalanta,1,2,0,1,2,10,2,2,2,2,2,4,1.9411764705882355,1.7647058823529411,2.176470588235294,1.1764705882352942,1.2976222599091634,1.0914103126634984,1.2862393885688164,0.8828430011649196,1,2,1,0,4,1,1,3,0,3,2,5,1,4,3,1,2,0,0,2,1,2
116,Napoli-Empoli,1,0,2,1,0,3,1,0,2,1,2,11,2.0,0.7647058823529411,1.588235294117647,1.7058823529411764,1.224744871391589,1.032558216561292,1.2277430273377534,1.1048023512348792,1,2,4,2,2,1,3,0,2,3,2,1,2,2,3,2,2,1,2,1,0,1
117,Sassuolo-Lazio,0,1,2,1,1,12,2,0,0,1,2,8,1.6470588235294117,1.5294117647058822,1.9411764705882355,1.8823529411764703,0.931475742477242,0.7998161553463028,1.6759545129303968,1.2689736473414486,2,2,3,2,2,3,2,1,2,2,3,0,0,4,3,0,2,4,4,1,2,1
118,Inter-Cagliari,1,2,2,2,2,2,0,1,1,1,1,18,2.5294117647058822,0.8823529411764706,1.0,2.0,1.280510008689093,0.9275204136012636,0.9354143466934852,1.0606601717798212,1,3,2,2,3,1,2,0,0,0,1,2,1,0,1,2,2,1,0,1,4,0
119,Roma-Spezia,0,2,2,0,0,7,2,0,0,0,1,17,1.5294117647058822,1.1176470588235294,1.0,2.235294117647059,1.124591429076774,1.21872643265298,0.8660254037844386,1.56242646885805,2,2,1,0,0,3,0,0,1,3,1,2,0,0,2,0,5,1,2,2,2,0
