,Partita,Rt-5h,Rt-4h,Rt-3h,Rt-2h,Rt-1h,Classifica h,Rt-5a,Rt-4a,Rt-3a,Rt-2a,Rt-1a,Classifica a,MGf h,MGs h,MGf a,MGs a,SGf h,SGs h,SGf a,SGs a,Gf-5h,Gf-4h,Gf-3h,Gf-2h,Gf-1h,Gs-5h,Gs-4h,Gs-3h,Gs-2h,Gs-1h,Gf-5a,Gf-4a,Gf-3a,Gf-2a,Gf-1a,Gs-5a,Gs-4a,Gs-3a,Gs-2a,Gs-1a,yGf,yGs
61,Benevento-Lazio,0.0,2.0,1.0,1.0,0.0,15.0,1.0,2.0,0.0,2.0,0.0,9.0,1.0833333333333333,1.9166666666666667,1.5,1.6666666666666667,0.90033663737852,1.781640374554423,1.0,1.302677894557859,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,2.0,1 , 1
62,Juventus-Atalanta,1.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,0.0,1.0,2.0,8.0,1.9166666666666667,0.9166666666666666,1.9166666666666667,1.5,0.996204919895622,0.5149286505444374,1.6764862244009229,1.1677484162422844,1.0,2.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,1.0,0.0,1 , 1
63,Fiorentina-Sassuolo,1.0,0.0,0.0,1.0,0.0,17.0,1.0,2.0,0.0,1.0,2.0,5.0,1.0,1.6666666666666667,1.8333333333333333,1.0833333333333333,1.1281521496355325,1.1547005383792517,1.5859229221975182,1.2401124093721454,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1 , 1
64,Genoa-Milan,0.0,0.0,0.0,1.0,0.0,19.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.25,1.0833333333333333,1.1281521496355325,1.5374122295716148,0.4522670168666454,0.996204919895622,1.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,2 , 2
65,Inter-Napoli,1.0,2.0,2.0,2.0,2.0,3.0,2.0,0.0,2.0,2.0,2.0,2.0,2.5,1.25,2.25,0.9166666666666666,1.381698559415515,0.9653072991634228,1.864744681524183,0.996204919895622,1.0,4.0,3.0,3.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,0.0,3.0,0.0,0.0,1.0,1 , 0
66,Parma-Cagliari,1.0,0.0,2.0,1.0,1.0,14.0,2.0,0.0,1.0,1.0,0.0,11.0,1.0,1.5833333333333333,1.5,1.9166666666666667,0.9534625892455924,1.378954368902449,1.243163121016122,1.378954368902449,0.0,0.0,2.0,0.0,2.0,0.0,3.0,1.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,3.0,0 , 0
67,Spezia-Bologna,2.0,1.0,1.0,0.0,0.0,16.0,0.0,2.0,2.0,0.0,0.0,12.0,1.4166666666666667,2.083333333333333,1.5,2.0,0.90033663737852,1.5050420310248862,1.314257481345542,1.4142135623730951,3.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,4.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,5.0,2 , 2
68,Verona-Sampdoria,1.0,0.0,2.0,1.0,2.0,7.0,0.0,0.0,1.0,0.0,0.0,13.0,1.3333333333333333,0.9166666666666666,1.5,1.6666666666666667,1.0730867399773196,0.7929614610987591,1.0,0.8876253645985945,2.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1 , 2
69,Roma-Torino,2.0,2.0,0.0,1.0,2.0,6.0,1.0,0.0,1.0,0.0,0.0,18.0,2.25,1.4166666666666667,1.6666666666666667,2.5,1.764549903980152,1.378954368902449,0.984731927834662,1.314257481345542,3.0,3.0,0.0,0.0,5.0,1.0,0.0,4.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,4.0,2.0,2.0,3.0,3 , 1
70,Fiorentina-Verona,0.0,0.0,1.0,0.0,1.0,17.0,0.0,2.0,1.0,2.0,0.0,8.0,1.0,1.6153846153846154,1.3076923076923077,0.9230769230769232,1.0801234497346437,1.12089707663561,1.031553471276484,0.75955452531275,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,1 , 1
