,Partita,Rt-5h,Rt-4h,Rt-3h,Rt-2h,Rt-1h,Classifica h,Rt-5a,Rt-4a,Rt-3a,Rt-2a,Rt-1a,Classifica a,MGf h,MGs h,MGf a,MGs a,SGf h,SGs h,SGf a,SGs a,Gf-5h,Gf-4h,Gf-3h,Gf-2h,Gf-1h,Gs-5h,Gs-4h,Gs-3h,Gs-2h,Gs-1h,Gf-5a,Gf-4a,Gf-3a,Gf-2a,Gf-1a,Gs-5a,Gs-4a,Gs-3a,Gs-2a,Gs-1a,yGf,yGs
351,Spezia-Atalanta,0.0,1.0,1.0,0.0,2.0,13.0,2.0,0.0,0.0,2.0,1.0,6.0,1.571428571428571,2.142857142857143,2.571428571428572,2.0,0.9759000729485331,1.676163419695052,1.718249385968449,1.154700538379251,0.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,4.0,0.0,5.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,1.0,1.0,0 , 0
352,Juventus-Cagliari,2.0,1.0,1.0,2.0,1.0,5.0,0.0,2.0,2.0,0.0,2.0,11.0,2.0,1.0,2.0,2.142857142857143,1.154700538379251,0.5773502691896257,1.290994448735806,1.573591584938886,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,2.0,5.0,2.0,2.0,3.0,0.0,2 , 0
353,Fiorentina-Benevento,0.0,1.0,2.0,0.0,1.0,12.0,2.0,0.0,0.0,0.0,0.0,16.0,1.428571428571429,1.714285714285714,1.428571428571429,2.857142857142857,1.272418020560703,1.380131118684708,0.9759000729485331,1.772810520855836,1.0,2.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,5.0,2.0,3.0,3.0,0 , 1
354,Inter-Torino,1.0,0.0,2.0,1.0,1.0,7.0,2.0,0.0,1.0,0.0,1.0,17.0,2.285714285714286,1.571428571428571,1.714285714285714,2.285714285714286,1.603567451474546,0.9759000729485332,1.253566341056017,1.603567451474546,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,3.0,3.0,0.0,1.0,3.0,3.0,4.0,0.0,4 , 2
355,Roma-Parma,2.0,2.0,1.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0,1.0,15.0,2.285714285714286,1.571428571428571,1.142857142857143,1.857142857142857,1.603567451474546,1.272418020560704,0.8997354108424372,1.4638501094228,1.0,5.0,3.0,2.0,3.0,0.0,2.0,3.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,3.0,2.0,2.0,0.0,3 , 0
356,Sampdoria-Bologna,2.0,2.0,2.0,1.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,14.0,1.571428571428571,1.571428571428571,1.571428571428571,1.857142857142857,1.272418020560703,1.133893419027682,1.718249385968449,1.069044967649698,2.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,3.0,0.0,1.0,4.0,2.0,2.0,1.0,1 , 2
357,Verona-Sassuolo,0.0,1.0,1.0,2.0,1.0,8.0,2.0,2.0,1.0,2.0,1.0,3.0,1.428571428571429,0.7142857142857143,2.571428571428572,1.285714285714286,1.272418020560704,0.7559289460184545,1.618347187425374,1.253566341056017,0.0,0.0,1.0,3.0,2.0,1.0,0.0,1.0,1.0,2.0,4.0,4.0,3.0,2.0,0.0,1.0,3.0,3.0,0.0,0.0,0 , 2
358,Udinese-Genoa,0.0,2.0,0.0,0.0,1.0,19.0,0.0,1.0,0.0,1.0,0.0,18.0,0.8571428571428571,1.571428571428571,1.0,2.142857142857143,1.214985792587912,0.9759000729485332,1.414213562373095,1.951800145897066,0.0,3.0,2.0,1.0,0.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,3.0,1 , 0
359,Napoli-Milan,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.285714285714286,0.8571428571428571,2.285714285714286,1.0,2.058663459163551,0.8997354108424372,0.4879500364742665,1.154700538379251,1.0,4.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,3.0,2.0,3.0,2.0,2.0,0.0,1.0,3.0,1.0,2.0,1 , 3
360,Sassuolo-Inter,2.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,2.0,6.0,2.5,1.125,2.5,1.625,1.511857892036909,1.246423454758225,1.603567451474546,0.9161253813129043,4.0,3.0,2.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,4.0,2.0,0.0,2.0,1.0,2.0,0 , 3
